	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N61311R_untreated	N61311R_dex
ENSG00000133739	8	11	11	9	3	6	9	1
ENSG00000114026	27	24	28	27	22	22	14	10
ENSG00000226437	263	742	406	444	258	383	285	343
ENSG00000177191	1	3	8	1	4	0	2	4
ENSG00000222534	486	530	663	515	547	1054	644	720
ENSG00000203857	31	46	50	38	53	14	47	38
ENSG00000218823	543	295	482	265	617	330	453	315
ENSG00000243772	170	161	247	238	245	187	190	140
ENSG00000154157	32	63	45	28	46	49	25	43
ENSG00000138409	1146	2329	1683	1864	2608	1252	2768	4134
ENSG00000155125	23215	11715	14346	13895	22255	11862	16416	8455
ENSG00000113116	482	511	666	455	1832	361	859	384
ENSG00000212833	6	6	7	3	3	4	2	7
ENSG00000195379	139	172	188	151	154	160	196	229
ENSG00000223412	85	29	95	102	170	73	70	88
ENSG00000169948	534	1361	1042	598	782	1130	369	977
ENSG00000182940	299	115	139	150	256	167	112	130
ENSG00000149023	12869	14797	6662	9108	8925	10308	11055	9497
ENSG00000200288	797	483	374	231	424	623	615	409
ENSG00000127652	407	456	891	551	325	211	749	625
ENSG00000245266	49	82	113	60	66	136	61	71
ENSG00000115391	12	29	25	23	9	12	29	38
ENSG00000235212	135	87	153	127	112	136	136	118
ENSG00000150588	102	122	216	326	214	207	228	232
ENSG00000178021	253	378	727	331	211	406	615	258
ENSG00000209343	87	170	176	250	166	174	229	222
ENSG00000156766	134	111	89	102	78	70	99	55
ENSG00000157554	142	127	167	172	140	187	147	157
ENSG00000243938	91	62	129	55	232	31	168	51
ENSG00000128621	10	23	11	8	12	23	18	20
ENSG00000101587	24	30	16	16	17	10	21	46
ENSG00000125745	461	362	367	391	425	395	756	420
ENSG00000223115	571	752	414	391	662	671	481	745
ENSG00000119431	97	77	80	92	118	112	65	78
ENSG00000187455	114	74	101	117	124	129	100	84
ENSG00000153023	524	375	432	319	338	642	391	412
ENSG00000225625	108	151	87	98	176	83	210	205
ENSG00000144372	60534	59636	62624	54740	82576	81698	34566	36395
ENSG00000138469	240	188	113	159	219	180	189	199
ENSG00000175745	99	49	112	45	53	46	84	31
ENSG00000153251	9	5	4	1	9	2	7	3
ENSG00000108907	136	189	225	252	147	294	276	143
ENSG00000134101	1708	1332	1357	840	860	1533	875	1212
ENSG00000201359	189	79	113	131	99	141	157	215
ENSG00000147207	852	2850	1334	1107	1316	2030	1991	1167
ENSG00000130593	115	28	173	38	94	52	106	35
ENSG00000243319	128	117	149	174	72	94	101	109
ENSG00000138188	152	132	338	135	125	103	128	72
ENSG00000211070	33	28	38	38	51	24	19	36
ENSG00000168574	7	6	6	10	6	7	13	13
ENSG00000205927	25	20	25	24	41	31	33	30
ENSG00000110588	3	3	2	2	5	7	5	3
ENSG00000241358	778	449	419	466	712	777	996	718
ENSG00000225132	152	134	101	94	137	132	278	164
ENSG00000106525	81	68	137	112	75	137	195	100
ENSG00000164548	69	19	45	57	42	38	50	54
ENSG00000102742	1059	545	822	751	1521	1415	1188	879
ENSG00000244080	27	34	29	52	25	25	37	36
ENSG00000212304	3695	5654	4243	4487	4530	6667	3876	4891
ENSG00000153677	1327	1007	1654	1257	1386	714	748	1905
ENSG00000146591	48	51	47	17	54	26	30	17
ENSG00000208932	101	91	93	132	128	92	107	101
ENSG00000216297	540	855	531	707	598	601	311	257
ENSG00000149340	1610	1757	1217	1440	3033	1286	1838	1559
ENSG00000207338	48	15	25	52	23	36	19	21
ENSG00000246501	52	67	45	44	52	29	15	48
ENSG00000151697	21168	19140	15454	23994	35492	21975	12490	20971
ENSG00000237920	630	1204	1229	653	652	770	876	602
ENSG00000205040	710	564	558	1231	669	411	1528	701
ENSG00000148546	6551	8761	10035	6288	6277	7848	6648	7122
ENSG00000246631	160	523	298	245	325	435	157	370
ENSG00000137646	54	55	43	45	39	71	86	33
ENSG00000155812	4	10	3	8	1	6	3	4
ENSG00000133018	795	1249	863	547	669	900	398	1049
ENSG00000234940	19	10	8	22	17	13	15	16
ENSG00000184217	418	459	633	321	471	502	489	374
ENSG00000151259	3	1	5	7	2	1	2	2
ENSG00000122110	42	44	37	28	29	59	84	52
ENSG00000161926	166	243	133	136	144	128	95	74
ENSG00000209551	3	17	8	11	16	11	16	14
ENSG00000164911	60	37	44	31	37	41	71	39
ENSG00000235399	31	28	29	36	28	17	29	18
ENSG00000211374	126	258	158	95	117	83	321	252
ENSG00000145843	12	4	2	9	9	16	8	29
ENSG00000156138	122	57	86	84	96	74	119	67
ENSG00000232991	1538	1838	1314	3214	3217	2279	1531	2645
ENSG00000235226	2212	3313	1689	2553	3088	2953	3797	1633
ENSG00000236595	6470	8243	10161	6413	7735	5812	7132	3929
ENSG00000208928	263	212	377	303	469	393	465	157
ENSG00000180693	80	103	93	46	77	86	62	66
ENSG00000231244	454	335	185	470	194	314	302	173
ENSG00000151800	1001	821	894	487	724	904	395	372
ENSG00000203079	336	285	580	186	282	266	663	182
ENSG00000148013	2598	2373	4521	2131	3165	4820	2098	2594
ENSG00000225371	45	42	19	56	42	54	22	28
ENSG00000205900	88	93	77	77	71	139	74	102
ENSG00000242065	2	19	5	6	4	1	11	7
ENSG00000161799	59	101	27	52	45	86	73	101
ENSG00000113231	3411	1169	1894	2194	2134	2484	2571	407
ENSG00000106689	126	138	158	209	121	163	120	167
ENSG00000242685	717	812	448	432	631	1061	673	626
ENSG00000115013	372	326	121	246	277	379	298	272
ENSG00000149064	1319	1046	1220	759	523	758	804	1639
ENSG00000207554	46	13	27	51	35	19	35	12
ENSG00000214918	406	580	362	570	298	336	422	404
ENSG00000147371	551	536	419	416	886	742	1066	608
ENSG00000150323	1076	1598	692	648	1067	846	1331	1504
ENSG00000223598	1470	2363	2286	1282	3215	2351	2074	3369
ENSG00000155143	56	57	59	46	43	43	66	50
ENSG00000136239	9	8	8	6	6	9	5	7
ENSG00000195068	19	14	40	41	36	17	45	52
ENSG00000139245	1662	3872	1414	2266	1909	1684	2534	2042
ENSG00000130651	3	24	19	9	9	20	24	23
ENSG00000246681	13	18	12	11	6	5	7	12
ENSG00000113876	6	9	13	7	8	19	13	13
ENSG00000137659	14	5	13	9	13	13	2	10
ENSG00000129178	870	965	515	307	901	1076	398	531
ENSG00000114298	17	44	37	25	18	47	27	40
ENSG00000249470	83	41	72	53	33	25	34	24
ENSG00000132069	1847	1591	1419	1561	1151	1631	1821	1284
ENSG00000183532	961	724	611	793	1090	1028	1914	482
ENSG00000160951	2926	910	2386	464	1483	539	1762	1031
ENSG00000224140	27	17	32	29	26	33	20	20
ENSG00000163701	3	7	5	4	3	4	3	5
ENSG00000182906	461	205	351	301	154	190	227	322
ENSG00000239314	3682	3617	4167	2582	2663	7803	4243	5683
ENSG00000196468	38	72	90	107	105	54	100	42
ENSG00000180321	147	138	141	85	202	82	119	68
ENSG00000175866	2	1	0	2	0	0	3	1
ENSG00000103250	3600	3122	7634	8261	2893	5358	6047	4178
ENSG00000185048	80	109	137	68	88	65	54	118
ENSG00000125857	2	6	2	4	12	4	4	9
ENSG00000224366	186	147	83	164	195	86	88	85
ENSG00000177851	39	58	26	35	40	61	47	47
ENSG00000127594	741	863	380	441	406	645	526	545
ENSG00000148354	6146	6230	17592	8524	4549	11945	8880	18546
ENSG00000218118	19	35	23	37	20	39	44	30
ENSG00000209554	178	123	106	158	179	284	161	271
ENSG00000164325	69	83	61	39	79	82	75	92
ENSG00000147161	44	35	64	30	37	52	26	45
ENSG00000158797	273	322	234	343	387	446	221	420
ENSG00000185200	2700	2059	2787	2778	1730	3730	4330	2471
ENSG00000138453	331	319	551	203	361	275	387	297
ENSG00000207322	228	89	129	45	136	49	164	66
ENSG00000186186	436	334	646	538	401	385	471	395
ENSG00000165935	528	217	725	234	628	257	387	346
ENSG00000240806	348	844	534	1003	689	1019	904	797
ENSG00000246160	54	64	50	89	54	24	50	39
ENSG00000205591	203	159	222	214	93	138	279	114
ENSG00000240647	9049	1913	5961	3133	10995	4203	7169	2536
ENSG00000167895	98	225	102	67	96	171	182	260
ENSG00000233205	521	955	827	1670	1100	1407	1303	856
ENSG00000122482	126	87	111	210	194	96	122	175
ENSG00000124581	76	179	161	220	186	179	138	86
ENSG00000237486	47	36	53	36	31	18	37	27
ENSG00000193504	46515	57425	42237	52782	27243	70558	37260	21459
ENSG00000145039	2542	1620	1491	1504	2185	2288	1850	1570
ENSG00000192400	2233	1480	2026	857	2069	1720	557	1609
ENSG00000177320	1941	2231	884	1465	1797	1617	710	2354
ENSG00000110443	19	7	17	14	7	32	26	27
ENSG00000113182	22	49	24	53	27	13	45	29
ENSG00000119505	81	62	81	114	92	77	96	66
ENSG00000184760	4	2	4	1	3	4	6	8
ENSG00000151208	36	17	37	13	15	15	52	31
ENSG00000193824	751	477	1305	770	603	1413	852	1144
ENSG00000217077	2	4	1	4	2	0	3	0
ENSG00000177847	23	47	39	21	22	16	12	21
ENSG00000248969	183	82	356	104	264	169	211	103
ENSG00000146929	80	106	107	123	81	107	162	157
ENSG00000204335	196	168	151	137	183	221	74	116
ENSG00000221587	25	29	49	16	60	18	23	26
ENSG00000237013	583	457	1176	1728	788	1106	1107	753
ENSG00000188872	1	2	0	0	2	1	1	0
ENSG00000170363	433	363	358	156	226	215	310	260
ENSG00000157506	10	3	6	5	6	1	31	7
ENSG00000234558	22	29	36	22	31	30	38	63
ENSG00000134947	346	182	184	114	123	99	317	119
ENSG00000123321	3127	5430	2636	3559	3113	4906	3806	3019
ENSG00000133390	17	9	8	36	15	21	14	11
ENSG00000110630	7	9	9	6	12	9	13	8
ENSG00000192709	1052	633	1220	1398	1040	879	1051	764
ENSG00000119809	232	116	197	88	346	101	231	143
ENSG00000244235	303	160	186	104	141	129	316	92
ENSG00000122927	298	494	405	421	183	589	303	206
ENSG00000120594	1600	884	1264	1219	1126	1429	1181	986
ENSG00000212652	197	183	124	216	302	248	105	298
ENSG00000105671	2	5	3	3	0	1	3	2
ENSG00000183827	81	93	90	96	84	148	125	56
ENSG00000223443	158	164	126	107	106	118	100	142
ENSG00000213869	4	10	10	11	20	24	15	10
ENSG00000138839	14	13	23	18	26	20	15	22
ENSG00000150233	600	532	546	1010	471	505	483	411
ENSG00000140544	229	107	299	255	230	270	229	347
ENSG00000161692	23	24	19	18	22	20	24	26
ENSG00000120559	499	272	319	324	302	628	543	141
ENSG00000100462	214	198	45	227	100	215	296	295
ENSG00000190239	4	17	12	10	4	13	9	10
ENSG00000246083	126	90	142	103	68	71	87	82
ENSG00000212120	5	4	13	14	5	7	4	11
ENSG00000185277	30	25	30	25	26	15	19	23
ENSG00000152696	425	217	301	217	155	152	371	159
ENSG00000190112	17	10	18	9	16	15	14	18
ENSG00000248385	11	11	2	13	17	11	14	14
ENSG00000210441	314	295	423	225	217	504	465	381
ENSG00000149897	17	16	13	12	25	23	25	20
ENSG00000220556	120	53	38	128	85	99	51	97
ENSG00000116016	78	105	67	80	98	41	112	54
ENSG00000145306	88	86	84	100	151	86	68	100
ENSG00000124905	237	389	406	291	281	330	247	443
ENSG00000206932	77	81	77	89	53	45	81	72
ENSG00000217929	26	55	15	28	30	21	25	33
ENSG00000140062	41	58	52	60	55	86	89	57
ENSG00000209531	1763	1683	1403	1463	707	1301	1556	1809
ENSG00000131674	575	896	1236	590	1065	547	1171	837
ENSG00000167570	164	165	76	131	226	148	121	120
ENSG00000225872	1330	1143	1888	1185	2957	986	2090	1777
ENSG00000207915	1319	717	305	447	478	460	752	545
ENSG00000171504	22	12	12	16	36	15	20	30
ENSG00000140719	1937	2635	3301	1590	3040	2807	2008	5529
ENSG00000232747	80737	25180	95687	40985	92026	29844	73944	68359
ENSG00000123838	342	252	284	192	376	545	163	272
ENSG00000133231	18	6	13	10	9	5	20	6
ENSG00000122597	2404	3150	3770	4516	2905	4009	2906	1967
ENSG00000226586	630	477	339	767	387	421	344	782
ENSG00000105175	125	159	47	88	106	136	98	80
ENSG00000222884	3	2	1	2	3	4	3	11
ENSG00000165636	137	207	99	83	68	175	127	108
ENSG00000183608	87	81	111	53	72	53	89	111
ENSG00000128677	216	63	204	60	138	71	198	100
ENSG00000156851	97	15	66	83	55	35	61	54
ENSG00000167162	1168	759	1671	731	1528	824	3254	1524
ENSG00000242069	61	91	90	56	45	44	37	41
ENSG00000153271	333	279	407	272	489	185	370	371
ENSG00000222162	4	2	2	2	0	1	2	2
ENSG00000129422	18	31	10	19	21	14	33	31
ENSG00000145726	124	185	106	181	233	144	96	181
ENSG00000100697	22	29	42	29	14	17	20	11
ENSG00000117298	96	168	114	151	87	89	228	100
ENSG00000234203	124	118	97	134	135	83	218	116
ENSG00000152980	501	263	398	254	352	285	349	201
ENSG00000136101	107	103	101	91	77	133	50	60
ENSG00000161095	430	388	999	456	515	476	446	481
ENSG00000127350	14	6	3	7	9	9	8	4
ENSG00000150678	65	37	87	47	49	39	59	64
ENSG00000184563	4331	1976	2864	2520	3661	2842	1963	4390
ENSG00000163864	143	71	213	64	183	53	67	73
ENSG00000229802	2538	3669	2339	5354	3159	2847	2679	1418
ENSG00000244681	167	389	246	228	225	177	233	296
ENSG00000136011	70	84	73	51	96	137	119	117
ENSG00000170971	242	137	200	191	180	157	169	127
ENSG00000229372	3824	3041	3523	3262	3937	4543	5193	3394
ENSG00000249329	167	51	210	92	101	65	80	64
ENSG00000122065	17	29	23	10	34	9	14	19
ENSG00000154969	315	502	526	284	533	207	423	277
ENSG00000166631	633	299	780	456	309	698	823	447
ENSG00000182919	878	1218	774	609	1162	1108	1506	971
ENSG00000234611	1	4	12	5	7	10	4	4
ENSG00000244264	242	450	205	198	347	394	379	246
ENSG00000185327	172	156	154	160	103	122	258	209
ENSG00000236162	110	103	66	115	108	85	99	33
ENSG00000115315	28	69	39	49	31	53	80	41
ENSG00000224858	193	438	405	302	227	396	480	518
ENSG00000243066	104	96	86	157	154	70	199	137
ENSG00000211363	114	111	104	131	136	173	132	117
ENSG00000197112	7349	5828	7651	6921	7508	15749	8204	10538
ENSG00000183726	146	159	138	208	119	146	186	186
ENSG00000242897	13	10	20	8	19	15	9	23
ENSG00000148541	34	27	21	36	31	27	37	15
ENSG00000147344	33	46	33	44	32	61	13	42
ENSG00000218745	4	8	6	2	5	2	11	2
ENSG00000167822	1735	880	1112	2019	1753	1312	1433	757
ENSG00000117010	6930	3906	5458	5930	8231	6187	9813	4427
ENSG00000150486	91	34	116	33	86	54	76	64
ENSG00000196116	1090	650	899	1164	901	1100	1181	1204
ENSG00000111476	45	24	38	28	32	43	34	40
ENSG00000125984	26	67	20	35	23	35	23	39
ENSG00000114628	6	3	2	10	6	5	8	4
ENSG00000231358	186	58	164	106	122	93	195	192
ENSG00000100157	1582	1585	1183	911	2085	2215	1570	886
ENSG00000224585	1589	1450	2468	1082	1481	1057	1768	2483
ENSG00000194349	590	328	483	315	221	349	361	486
ENSG00000166473	105	105	191	59	197	100	116	39
ENSG00000182823	1995	2272	947	2092	1727	2067	1237	1206
ENSG00000154762	4707	6231	4586	2657	4301	3345	5130	5768
ENSG00000208446	46	35	74	12	64	19	39	26
ENSG00000126026	258	273	243	194	189	432	199	223
ENSG00000132361	205	129	113	137	171	128	121	126
ENSG00000186755	37	62	33	31	45	32	33	38
ENSG00000249664	12	14	13	7	17	12	12	26
ENSG00000109622	14	24	29	29	43	32	20	41
ENSG00000103890	209	164	226	181	245	197	221	236
ENSG00000196324	279	171	227	264	125	166	268	217
ENSG00000100076	253	358	172	231	243	175	145	175
ENSG00000133480	1974	2567	1350	1062	1895	2060	2148	2342
ENSG00000233844	99	35	92	40	80	42	73	17
ENSG00000216322	16	12	6	10	7	11	17	12
ENSG00000168133	17	4	6	26	15	19	12	14
ENSG00000114064	259	409	507	271	409	289	407	348
ENSG00000176300	45	24	63	53	20	43	48	44
ENSG00000103511	8	4	1	3	9	5	2	5
ENSG00000162572	1192	1428	594	1218	574	1098	750	987
ENSG00000170361	3843	1584	2291	2616	1652	2767	1741	1367
ENSG00000193488	116	313	313	176	199	85	247	116
ENSG00000142336	544	550	576	440	340	592	474	428
ENSG00000117099	7	9	9	16	9	7	12	15
ENSG00000124786	11	8	12	10	13	4	7	8
ENSG00000189610	135	233	83	273	155	182	176	185
ENSG00000115557	195	231	302	251	322	265	359	205
ENSG00000159553	108	104	114	141	118	96	52	53
ENSG00000165639	82	93	149	155	72	106	59	58
ENSG00000159153	34	15	38	37	16	28	63	60
ENSG00000180739	1519	2721	2563	3383	2724	3165	2948	3761
ENSG00000141489	26	20	27	28	22	26	41	37
ENSG00000120506	294	153	289	63	310	64	195	176
ENSG00000211111	1581	728	1627	826	1172	623	948	934
ENSG00000124021	16	15	15	18	30	16	19	16
ENSG00000207268	199	106	282	121	195	287	144	277
ENSG00000209258	114	113	102	107	96	93	168	65
ENSG00000210912	281	525	657	511	428	264	765	341
ENSG00000245922	0	3	3	1	1	0	1	0
ENSG00000182241	60	54	69	66	84	44	127	88
ENSG00000190844	25	31	21	34	40	24	37	14
ENSG00000188741	1989	826	992	1905	1437	2211	1410	1406
ENSG00000211591	111	153	130	177	158	157	127	240
ENSG00000224230	119	50	126	37	77	47	64	61
ENSG00000209785	957	883	1162	1111	1125	551	3553	428
ENSG00000178742	546	427	429	898	413	297	409	201
ENSG00000190033	1317	1017	1183	709	764	1397	1197	790
ENSG00000241139	755	1039	1687	1191	907	1157	1124	1207
ENSG00000118607	534	256	697	764	698	708	566	588
ENSG00000164349	108	37	143	40	77	47	59	32
ENSG00000179454	322	234	392	68	412	226	458	286
ENSG00000141792	158	454	341	260	235	303	258	468
ENSG00000143857	277	293	271	241	402	322	403	432
ENSG00000136253	155	148	387	157	399	174	385	261
ENSG00000149329	154	167	183	230	122	91	232	326
ENSG00000191493	58	99	98	53	52	49	49	41
ENSG00000157011	162	167	158	74	187	151	90	121
ENSG00000114870	31	24	23	20	15	13	16	6
ENSG00000117872	29	12	19	33	35	12	27	20
ENSG00000106393	691	756	235	391	480	516	936	569
ENSG00000214410	148	131	145	53	150	46	147	33
ENSG00000104467	119	262	110	171	190	350	107	139
ENSG00000155553	46	73	42	54	64	51	31	71
ENSG00000191376	7	4	8	2	6	5	6	5
ENSG00000160766	54	72	82	53	137	76	33	81
ENSG00000187213	3182	4397	4397	2960	2540	4453	2331	4846
ENSG00000248826	161	66	78	66	205	107	81	175
ENSG00000149249	27	45	28	45	76	32	48	50
ENSG00000169320	425	529	479	620	511	383	445	718
ENSG00000174559	41	33	77	83	67	61	82	77
ENSG00000228336	30	43	40	39	59	54	72	41
ENSG00000165890	5	7	4	14	3	8	5	5
ENSG00000230249	6	8	6	4	1	2	2	7
ENSG00000208768	547	234	415	319	405	284	227	255
ENSG00000122216	163	145	155	162	201	248	88	184
ENSG00000212495	352	163	141	265	290	219	404	119
ENSG00000177914	547	551	648	696	575	519	469	949
ENSG00000127479	137	74	81	66	131	66	93	118
ENSG00000244897	110	118	103	79	180	175	92	156
ENSG00000127054	33	19	14	23	38	27	19	26
ENSG00000118829	9	31	22	31	38	27	26	25
ENSG00000217871	17	41	35	6	50	19	24	26
ENSG00000121326	914	510	892	1128	1083	636	1017	1408
ENSG00000215213	1494	720	1233	331	532	699	1761	711
ENSG00000248763	25	24	12	14	28	16	14	13
ENSG00000132111	51	92	83	56	65	61	109	93
ENSG00000181362	145	254	148	110	204	161	125	216
ENSG00000243723	15	19	15	11	31	14	14	18
ENSG00000137742	844	425	345	701	770	480	223	392
ENSG00000202058	22	15	22	28	67	25	31	40
ENSG00000134251	78	28	34	42	59	37	21	54
ENSG00000192068	38	64	85	72	58	85	73	93
ENSG00000104644	4	0	2	4	5	6	3	2
ENSG00000101374	3	4	2	2	2	7	1	1
ENSG00000171663	26	39	34	17	17	15	18	18
ENSG00000136656	1342	1510	1633	1190	1476	1047	1072	1412
ENSG00000210467	257	632	265	659	597	309	400	784
ENSG00000116498	307	281	533	399	391	396	277	304
ENSG00000233349	61	32	52	33	42	41	43	46
ENSG00000215486	36	65	60	61	55	41	40	60
ENSG00000143622	184	91	132	205	126	182	85	69
ENSG00000209817	474	182	330	217	353	149	439	125
ENSG00000169869	5	5	2	7	5	11	6	8
ENSG00000217013	20	38	58	18	56	22	97	35
ENSG00000139670	28	37	31	33	75	18	36	44
ENSG00000199781	2001	2970	1343	3585	2080	2053	1136	2022
ENSG00000151564	76	17	133	51	78	40	117	58
ENSG00000147921	28	19	28	18	33	14	43	25
ENSG00000246230	677	1095	1121	897	379	621	732	313
ENSG00000144859	37	60	61	62	60	40	54	86
ENSG00000130021	1079	673	764	1358	895	771	851	563
ENSG00000109983	9	23	25	19	26	24	38	27
ENSG00000173864	3936	9688	4505	8289	5034	7303	5841	6416
ENSG00000132626	183	53	121	75	75	136	98	153
ENSG00000248296	175	175	180	246	155	161	207	79
ENSG00000120339	123	54	108	104	120	72	102	72
ENSG00000194884	107	159	152	126	87	140	113	56
ENSG00000199866	103	172	137	162	150	152	209	243
ENSG00000178903	94	55	69	47	69	63	64	41
ENSG00000192483	1822	2245	2931	2669	1568	1757	1316	1767
ENSG00000115153	2	1	0	6	2	1	1	0
ENSG00000227903	10	14	10	10	13	13	16	25
ENSG00000243292	117	49	53	74	73	59	73	62
ENSG00000215637	82	70	114	84	110	140	296	116
ENSG00000211573	1614	2696	3197	1948	2648	4011	2151	1620
ENSG00000142880	576	316	281	639	375	570	442	568
ENSG00000216354	209	167	102	61	157	286	188	164
ENSG00000176641	18	24	23	20	17	27	23	23
ENSG00000246096	7804	11976	11666	7831	5745	6069	8790	5617
ENSG00000189061	1078	906	931	628	980	434	921	905
ENSG00000121192	12676	23097	37559	20763	20900	29318	20528	18431
ENSG00000238024	7	6	17	6	15	16	19	6
ENSG00000159317	7804	4361	5414	5953	2394	5936	4781	3125
ENSG00000176947	91	124	142	239	130	128	144	134
ENSG00000214412	27	21	30	29	8	49	53	22
ENSG00000150382	236	214	126	489	171	395	169	270
ENSG00000182798	202	170	212	124	173	185	236	117
ENSG00000174887	68	80	51	79	89	70	58	92
ENSG00000169507	7	7	7	6	13	4	9	8
ENSG00000149687	76	19	72	38	93	37	23	70
ENSG00000214773	9	20	15	7	6	7	16	27
ENSG00000122881	233	216	388	111	518	111	296	94
ENSG00000227590	7	7	7	10	15	4	5	14
ENSG00000225437	249	303	183	269	224	182	332	168
ENSG00000219171	46	48	77	75	49	100	52	63
ENSG00000177516	1259	723	1394	886	761	1040	1176	785
ENSG00000119111	17	17	33	12	37	37	30	19
ENSG00000164284	15	23	12	20	11	13	9	11
ENSG00000187494	6	7	7	10	5	13	12	8
ENSG00000159734	228	184	373	303	225	335	260	179
ENSG00000241279	32768	39909	49457	51392	41609	49028	46375	52934
ENSG00000119987	14	11	17	9	14	7	18	10
ENSG00000170678	31	46	61	50	37	48	56	43
ENSG00000236196	3859	1613	1493	4000	3333	4754	3143	2179
ENSG00000137014	654	375	422	868	690	389	840	458
ENSG00000177916	1553	1436	1894	4018	2527	1798	2632	2114
ENSG00000205853	292	278	295	229	141	201	228	289
ENSG00000128784	306	273	413	339	585	154	402	264
ENSG00000180502	122	150	43	235	96	153	96	168
ENSG00000203996	20	15	17	19	19	9	9	17
ENSG00000166594	269	297	156	241	275	248	230	192
ENSG00000117930	16	15	17	20	27	18	19	20
ENSG00000190374	470	522	275	442	252	341	442	513
ENSG00000222301	0	2	0	2	0	2	0	0
ENSG00000129564	1	1	1	4	3	3	3	4
ENSG00000220576	86	107	86	111	119	77	96	85
ENSG00000199317	75	228	172	130	194	221	211	99
ENSG00000142355	7008	6402	4272	5821	7635	3660	2976	3324
ENSG00000231166	24	30	17	32	10	19	13	38
ENSG00000116499	407	366	487	397	262	511	245	387
ENSG00000223155	5	3	2	1	4	1	3	2
ENSG00000114276	11943	10571	5139	13113	16195	6758	13651	21238
ENSG00000104831	2	1	1	3	0	0	2	0
ENSG00000118192	1254	1876	1234	2007	3754	2280	2209	1127
ENSG00000226917	74	59	50	59	60	66	63	57
ENSG00000226295	4	0	3	2	1	9	1	3
ENSG00000210066	34	35	26	38	30	32	41	43
ENSG00000165354	916	976	627	657	744	563	406	423
ENSG00000208789	103	129	95	98	87	62	71	83
ENSG00000217324	31	28	24	32	9	10	18	24
ENSG00000173470	259	115	96	110	180	173	145	149
ENSG00000219315	56	42	107	136	82	118	111	95
ENSG00000119309	627	1357	383	863	854	720	788	621
ENSG00000125040	693	502	457	720	477	472	275	483
ENSG00000177717	54	37	87	47	118	56	126	50
ENSG00000218717	14	27	35	18	41	17	25	27
